Genotype,Envir,Management,Row,Position,Fruit_number,R,P,Fruit_number_spats_residuals,Fruit_number_spats_geno_pred_values,Fruit_number_spats_adj_pheno
Modi,BEL_2021_2,2,13,73,26,13,73,-6.95260306587752,33.2731180299907,26.3205149641132
Modi,BEL_2021_2,2,14,80,4,14,80,-26.5646569347159,33.2731180299907,6.70846109527481
Modi,BEL_2021_2,2,15,24,35,15,24,0.505204380108687,33.2731180299907,33.7783224100994
NOVADI_0114,BEL_2021_2,2,13,95,82,13,95,39.6789376880706,43.2815315096048,82.9604691976754
NOVADI_0114,BEL_2021_2,2,14,2,45,14,2,-7.73688397366944,43.2815315096048,35.5446475359354
NOVADI_0268,BEL_2021_2,2,14,77,6,14,77,-11.0019434760055,19.2416159390441,8.23967246303861
NOVADI_0268,BEL_2021_2,2,15,46,10,15,46,-9.98789117405906,19.2416159390441,9.25372476498506
NOVADI_0347,BEL_2021_2,2,15,79,11,15,79,-13.4786777045812,24.4389088727614,10.9602311681802
NOVADI_0347,BEL_2021_2,2,14,33,33,14,33,3.93241608028234,24.4389088727614,28.3713249530438
NOVADI_0356,BEL_2021_2,2,14,81,55,14,81,27.778303316535,30.0856821863659,57.8639855029009
NOVADI_0356,BEL_2021_2,2,12,38,4,12,38,-24.8913110145521,30.0856821863659,5.19437117181376
NOVADI_0382,BEL_2021_2,2,12,27,45,12,27,3.38013545641682,41.9957710024445,45.3759064588613
NOVADI_0382,BEL_2021_2,2,13,87,67,13,87,25.730887864858,41.9957710024445,67.7266588673025
NOVADI_0830,BEL_2021_2,2,13,97,7,13,97,-12.4071433705053,20.4276432478007,8.02049987729538
NOVADI_0830,BEL_2021_2,2,15,9,16,15,9,-5.97125677097926,20.4276432478007,14.4563864768214
NOVADI_0980,BEL_2021_2,2,12,34,12,12,34,-12.4414947937008,25.3391377264764,12.8976429327756
NOVADI_0980,BEL_2021_2,2,15,91,30,15,91,4.87738710199151,25.3391377264764,30.2165248284679
NOVADI_1015,BEL_2021_2,2,14,67,23,14,67,2.71036502563415,20.9656835048706,23.6760485305047
NOVADI_1015,BEL_2021_2,2,15,37,2,15,37,-19.9040901735972,20.9656835048706,1.06159333127334
TeBr_043,BEL_2021_2,2,12,95,10,12,95,-4.04951202449927,19.4842766201013,15.434764595602
TeBr_043,BEL_2021_2,2,12,23,3,12,23,-16.4060242399298,19.4842766201013,3.07825238017146
12_N052,BEL_2021_BUFFER,BUFFER,12,106,64,12,106,0.971212188550133,34.7727692977303,35.7439814862804
1901,BEL_2021_BUFFER,BUFFER,16,50,41,16,50,1.77090238455161,37.3469623240469,39.1178647085985
1901,BEL_2021_BUFFER,BUFFER,24,59,36,24,59,1.63812463056473,37.3469623240469,38.9850869546116
1988,BEL_2021_BUFFER,BUFFER,16,48,8,16,48,-2.38551142109402,31.2282611533649,28.8427497322709
261,BEL_2021_BUFFER,BUFFER,20,118,31,20,118,4.90147395278778,38.9229009298978,43.8243748826856
2836,BEL_2021_BUFFER,BUFFER,17,59,18,17,59,0.0314860724734842,33.7804722666799,33.8119583391534
2848,BEL_2021_BUFFER,BUFFER,22,118,17,22,118,-1.29847654515025,32.3761078095274,31.0776312643772
468,BEL_2021_BUFFER,BUFFER,16,85,51,16,85,2.65214001552398,36.5477329425419,39.1998729580659
603,BEL_2021_BUFFER,BUFFER,16,2,43,16,2,1.1599481199199,32.3074165383207,33.4673646582406
603,BEL_2021_BUFFER,BUFFER,16,65,9,16,65,-2.52347674068819,32.3074165383207,29.7839397976325
7828,BEL_2021_BUFFER,BUFFER,16,62,29,16,62,0.341857002004854,34.1082062166355,34.4500632186404
929,BEL_2021_BUFFER,BUFFER,21,59,20,21,59,-0.748278780974729,32.9570851799992,32.2088063990245
FuPi_013,BEL_2021_BUFFER,BUFFER,18,118,16,18,118,-4.3601632578578,29.1431417537259,24.7829784958681
I_BB070,BEL_2021_BUFFER,BUFFER,20,59,15,20,59,-2.15123762061089,31.4756408874121,29.3244032668012
1,BEL_2022_1,1,19,44,43,19,44,1.21453369445951,40.569164060495,41.7836977549545
1,BEL_2022_1,1,17,112,33,17,112,-24.4888725113294,40.569164060495,16.0802915491657
1015,BEL_2022_1,1,22,108,30,22,108,-5.39133211847582,39.3590779113054,33.9677457928296
1015,BEL_2022_1,1,18,40,11,18,40,-20.1514388957006,39.3590779113054,19.2076390156049
1020,BEL_2022_1,1,25,77,24,25,77,-19.6541075509082,42.500362055747,22.8462545048388
1091,BEL_2022_1,1,24,15,5,24,15,-25.3912951796627,39.4398820938151,14.0485869141524
1106.1,BEL_2022_1,1,17,35,75,17,35,19.5255868096212,51.7326992307817,71.2582860404028
1106.1,BEL_2022_1,1,22,100,27,22,100,-21.8727192180863,51.7326992307817,29.8599800126954
1113,BEL_2022_1,1,22,96,33,22,96,-16.3401807956697,51.7495755016356,35.4093947059659
1113,BEL_2022_1,1,21,50,78,21,50,14.0246847101237,51.7495755016356,65.7742602117593
112,BEL_2022_1,1,23,63,7,23,63,-24.4692054705459,31.6569019375279,7.18769646698205
112,BEL_2022_1,1,18,57,10,18,57,-15.5120945524444,31.6569019375279,16.1448073850835
1123,BEL_2022_1,1,20,9,22,20,9,-55.3945140666562,68.8825655933004,13.4880515266442
1123,BEL_2022_1,1,17,67,162,17,67,85.196587780661,68.8825655933004,154.079153373961
1125,BEL_2022_1,1,24,44,132,24,44,49.3378908301465,87.6105353609599,136.948426191106
1125,BEL_2022_1,1,20,66,104,20,66,15.5717077816462,87.6105353609599,103.182243142606
114,BEL_2022_1,1,17,100,51,17,100,3.94512839538893,40.6225252368429,44.5676536322318
114,BEL_2022_1,1,20,20,20,20,20,-27.1194361437314,40.6225252368429,13.5030890931114
12_196,BEL_2022_1,1,21,74,115,21,74,43.7039483908034,62.7562866296886,106.460235020492
12_196,BEL_2022_1,1,17,47,43,17,47,-25.3862210268877,62.7562866296886,37.3700656028009
12_197,BEL_2022_1,1,18,14,49,18,14,-0.666359140164772,57.435565412789,56.7692062726242
12_197,BEL_2022_1,1,19,72,66,19,72,9.00984183613647,57.435565412789,66.4454072489255
12_204,BEL_2022_1,1,26,65,55,26,65,0.484100107846935,59.434539161483,59.91863926933
12_204,BEL_2022_1,1,26,42,65,26,42,11.6066665448456,59.434539161483,71.0412057063286
12_205,BEL_2022_1,1,21,84,75,21,84,6.82775478410842,61.5388951350488,68.3666499191572
12_205,BEL_2022_1,1,23,46,70,23,46,9.20784575353346,61.5388951350488,70.7467408885822
12_B020,BEL_2022_1,1,25,114,17,25,114,-37.3333672227706,56.7433883305704,19.4100211077998
12_B020,BEL_2022_1,1,24,32,95,24,32,44.3792920708208,56.7433883305704,101.122680401391
12_B023,BEL_2022_1,1,17,54,73,17,54,-1.0988478217791,66.8938772937199,65.7950294719408
12_B023,BEL_2022_1,1,18,116,96,18,116,27.1729187219375,66.8938772937199,94.0667960156574
12_B057,BEL_2022_1,1,21,66,12,21,66,-33.233773160519,35.2563433522883,2.02257019176931
