Genotype,Envir,Management,Row,Position,Flowering_begin,R,P,Flowering_begin_spats_residuals,Flowering_begin_spats_geno_pred_values,Flowering_begin_spats_adj_pheno
1901,BEL_2018_1,1,17,108,108,17,108,-0.884899060505845,108.953975318426,108.06907625792
1910,BEL_2018_1,1,23,22,109,23,22,-0.532118485327871,109.481250670844,108.949132185516
192,BEL_2018_1,1,17,86,112,17,86,0.751744072398694,111.231756408303,111.983500480702
192,BEL_2018_1,1,17,43,112,17,43,0.587940600545934,111.231756408303,111.819697008849
1935,BEL_2018_1,1,17,72,110,17,72,-0.0117270866031305,109.955177095722,109.943450009119
1935,BEL_2018_1,1,20,38,110,20,38,-0.0136252911415085,109.955177095722,109.94155180458
1951,BEL_2018_1,1,20,41,110,20,41,-0.0373037043731443,109.992553529696,109.955249825323
1951,BEL_2018_1,1,18,72,110,18,72,0.0519176778725949,109.992553529696,110.044471207569
1952,BEL_2018_1,1,18,25,111,18,25,0.407068917898258,110.35957643423,110.766645352128
1962,BEL_2018_1,1,23,115,110,23,115,-0.0518951064000959,110.285168278874,110.233273172474
1962,BEL_2018_1,1,18,6,111,18,6,0.379399920499282,110.285168278874,110.664568199373
197,BEL_2018_1,1,21,114,109,21,114,-0.548575335959924,109.740939776054,109.192364440094
197,BEL_2018_1,1,26,15,110,26,15,0.294140537636324,109.740939776054,110.03508031369
1985,BEL_2018_1,1,23,71,110,23,71,-0.0203296876326675,109.999902498548,109.979572810915
1985,BEL_2018_1,1,25,51,110,25,51,0.0428018605159082,109.999902498548,110.042704359064
1988,BEL_2018_1,1,25,12,109,25,12,-0.663699919530927,109.687250664372,109.023550744841
1988,BEL_2018_1,1,19,60,110,19,60,0.351855741357525,109.687250664372,110.03910640573
1989,BEL_2018_1,1,20,5,111,20,5,0.500885536566216,110.248560590188,110.749446126754
1989,BEL_2018_1,1,20,65,110,20,65,-0.212525059919216,110.248560590188,110.036035530269
1991,BEL_2018_1,1,21,112,109,21,112,-0.127275037318412,109.318940820283,109.191665782965
1991,BEL_2018_1,1,19,14,109,19,14,-0.578400200437017,109.318940820283,108.740540619846
1997,BEL_2018_1,1,23,13,110,23,13,-0.019619223620893,109.980312357905,109.960693134284
1997,BEL_2018_1,1,23,74,110,23,74,0.0211438004224647,109.980312357905,110.001456158327
2,BEL_2018_1,1,20,14,110,20,14,-0.185038864133219,109.992804515711,109.807765651578
2,BEL_2018_1,1,25,115,110,25,115,0.199921215167862,109.992804515711,110.192725730879
200,BEL_2018_1,1,22,76,110,22,76,0.118566141263685,109.895471726208,110.014037867472
200,BEL_2018_1,1,18,11,110,18,11,-0.207761039960914,109.895471726208,109.687710686247
2003,BEL_2018_1,1,24,84,110,24,84,0.0458084230086939,110.021726502613,110.067534925622
2010,BEL_2018_1,1,19,15,110,19,15,-0.119598264112412,109.867038573202,109.747440309089
2013,BEL_2018_1,1,25,71,110,25,71,-0.977657547018794,111.043731080845,110.066073533826
2013,BEL_2018_1,1,26,58,113,26,58,2.1162880935814,111.043731080845,113.160019174426
202,BEL_2018_1,1,24,2,112,24,2,1.00552124314812,110.997976493545,112.003497736693
