Genotype,Envir,Management,Row,Position,Weight_sample,R,P,Weight_sample_spats_residuals,Weight_sample_spats_geno_pred_values,Weight_sample_spats_adj_pheno
12_O011,BEL_2019_1,1,21,34,3.3,21,34,0.17997581861575,2.98402847378042,3.16400429239617
12_O011,BEL_2019_1,1,22,82,3.32,22,82,0.231882224802011,2.98402847378042,3.21591069858243
12_O014,BEL_2019_1,1,23,42,2.08,23,42,-0.421380703253711,2.31205157529654,1.89067087204283
12_O014,BEL_2019_1,1,17,109,2.24,17,109,0.279161798458235,2.31205157529654,2.59121337375478
12_O017,BEL_2019_1,1,21,82,2.02,21,82,-0.170046347766045,2.13587578283534,1.9658294350693
12_O017,BEL_2019_1,1,22,4,1.9,22,4,-0.117437886323025,2.13587578283534,2.01843789651232
12_O026,BEL_2019_1,1,26,60,1.5,26,60,-0.455193051909813,1.68193407533432,1.22674102342451
12_O026,BEL_2019_1,1,18,35,1.54,18,35,-0.206587733930314,1.68193407533432,1.47534634140401
12_O056,BEL_2019_1,1,17,49,3.12,17,49,0.138725803928141,2.95811266530243,3.09683846923057
12_O056,BEL_2019_1,1,25,95,3.38,25,95,0.251763421447869,2.95811266530243,3.2098760867503
12_O061,BEL_2019_1,1,19,64,3.26,19,64,0.274080638053721,2.9128401300938,3.18692076814753
12_O061,BEL_2019_1,1,20,43,3.14,20,43,0.0790792264426781,2.9128401300938,2.99191935653648
12_O063,BEL_2019_1,1,24,14,3,24,14,0.116986554103297,2.88689292388022,3.00387947798352
12_O063,BEL_2019_1,1,18,103,2.86,18,103,0.214778603423381,2.88689292388022,3.10167152730361
12_O072,BEL_2019_1,1,23,66,3.24,23,66,0.131332681785082,2.88264375352368,3.01397643530876
12_O072,BEL_2019_1,1,21,45,3.26,21,45,0.19692883246323,2.88264375352368,3.07957258598691
12_O074,BEL_2019_1,1,24,94,2.82,24,94,0.244953829069126,2.42021615237932,2.66516998144845
12_O074,BEL_2019_1,1,18,45,2.2,18,45,-0.297985889926927,2.42021615237932,2.1222302624524
12_P001,BEL_2019_1,1,20,35,3.28,20,35,0.178311645750186,2.97812597034958,3.15643761609977
