Genotype,Envir,Management,Row,Position,Sample_size,R,P,Sample_size_spats_residuals,Sample_size_spats_geno_pred_values,Sample_size_spats_adj_pheno
1481,BEL_2019_1,1,18,55,9,18,55,-5.95380378474165,14.9693837426227,9.01557995788109
1481,BEL_2019_1,1,19,80,20,19,80,4.7585378759055,14.9693837426227,19.7279216185282
149,BEL_2019_1,1,19,3,3,19,3,-8.44636508783263,11.6816941767693,3.23532908893666
149,BEL_2019_1,1,26,81,16,26,81,3.2339922065223,11.6816941767693,14.9156863832916
15,BEL_2019_1,1,22,93,18,22,93,-0.508245312178676,17.4431753485414,16.9349300363627
15,BEL_2019_1,1,17,41,20,17,41,2.33561439047654,17.4431753485414,19.778789739018
152,BEL_2019_1,1,25,20,20,25,20,2.60933393884714,16.9400654779271,19.5493994167743
152,BEL_2019_1,1,21,103,16,21,103,-1.39669630908877,16.9400654779271,15.5433691688384
163,BEL_2019_1,1,22,106,20,22,106,1.21622696244836,18.3454072789555,19.5616342414039
163,BEL_2019_1,1,19,32,20,19,32,1.71354613114909,18.3454072789555,20.0589534101046
167,BEL_2019_1,1,23,55,8,23,55,-2.15658048263177,8.81787604953691,6.66129556690514
167,BEL_2019_1,1,18,64,2,18,64,-6.55498644859391,8.81787604953691,2.262889600943
17,BEL_2019_1,1,22,24,12,22,24,-2.10869719863438,14.221811287826,12.1131140891916
170,BEL_2019_1,1,26,14,9,26,14,-3.88439249896852,12.7685428160014,8.88415031703284
173,BEL_2019_1,1,17,113,1,17,113,-6.96857434641263,10.2443798926547,3.27580554624208
1870,BEL_2019_1,1,21,86,17,21,86,-0.0423013089955866,15.9129955783711,15.8706942693756
1872,BEL_2019_1,1,18,69,2,18,69,-5.7073922906609,8.02223252480054,2.31484023413964
1872,BEL_2019_1,1,23,21,4,23,21,-3.97634220286095,8.02223252480054,4.0458903219396
1887,BEL_2019_1,1,21,89,20,21,89,4.44462611224713,14.4143896637994,18.8590157760465
1887,BEL_2019_1,1,20,39,8,20,39,-6.3180188755402,14.4143896637994,8.0963707882592
1889,BEL_2019_1,1,17,9,6,17,9,-2.11251703260908,8.92922744288198,6.8167104102729
1889,BEL_2019_1,1,18,80,2,18,80,-6.46299372614608,8.92922744288198,2.4662337167359
1893,BEL_2019_1,1,19,101,2,19,101,-7.43112366401498,9.86581925795066,2.43469559393568
1900,BEL_2019_1,1,22,22,13,22,22,-3.17128640305092,16.354309363304,13.1830229602531
1900,BEL_2019_1,1,22,113,20,22,113,3.66821017811296,16.354309363304,20.022519541417
1901,BEL_2019_1,1,20,4,20,20,4,0.994297198207537,19.1968499520046,20.1911471502122
1901,BEL_2019_1,1,17,108,20,17,108,2.97582238494049,19.1968499520046,22.1726723369451
1910,BEL_2019_1,1,23,22,6,23,22,-5.39742612758223,11.5302424900046,6.13281636242235
192,BEL_2019_1,1,17,43,20,17,43,2.08025608354271,17.6501436902312,19.7303997737739
1935,BEL_2019_1,1,20,38,20,20,38,4.33233063334697,15.5749124615633,19.9072430949103
1935,BEL_2019_1,1,17,72,10,17,72,-4.78772326942841,15.5749124615633,10.7871891921349
1951,BEL_2019_1,1,20,41,9,20,41,-6.12950151327596,15.1596876937123,9.03018618043633
1951,BEL_2019_1,1,18,72,20,18,72,5.16676100365972,15.1596876937123,20.326448697372
1952,BEL_2019_1,1,25,97,20,25,97,0.985049063308086,18.2575898270324,19.2426388903405
1952,BEL_2019_1,1,18,25,20,18,25,1.83742311535838,18.2575898270324,20.0950129423908
1962,BEL_2019_1,1,18,6,20,18,6,1.88570969166748,18.642773858482,20.5284835501495
1962,BEL_2019_1,1,23,115,20,23,115,1.40740468950272,18.642773858482,20.0501785479848
197,BEL_2019_1,1,21,114,20,21,114,1.7554993916443,18.4419662771587,20.1974656688029
197,BEL_2019_1,1,26,15,20,26,15,1.29225559080471,18.4419662771587,19.7342218679634
1985,BEL_2019_1,1,23,71,20,23,71,1.39031237101476,17.0854784323112,18.475790803326
1988,BEL_2019_1,1,25,12,6,25,12,-5.40209791363807,11.5264189965365,6.12432108289847
1997,BEL_2019_1,1,23,13,14,23,13,-0.97962344343604,15.1458703257057,14.1662468822697
2,BEL_2019_1,1,25,115,20,25,115,2.01765640740019,17.598910724943,19.6165671323432
200,BEL_2019_1,1,18,11,20,18,11,2.30250512354164,18.2043981846354,20.506903308177
200,BEL_2019_1,1,22,76,20,22,76,0.454974143455175,18.2043981846354,18.6593723280905
2003,BEL_2019_1,1,19,17,12,19,17,-2.01950482927109,14.2948083038673,12.2753034745962
2013,BEL_2019_1,1,26,58,9,26,58,-2.19625999652487,9.89253215664731,7.69627216012243
2013,BEL_2019_1,1,25,71,6,25,71,-5.20222415896598,9.89253215664731,4.69030799768133
202,BEL_2019_1,1,18,76,5,18,76,-9.97241105238064,15.4706142994955,5.49820324711482
202,BEL_2019_1,1,24,2,20,24,2,4.82414872982241,15.4706142994955,20.2947630293179
202,BEL_2019_1,1,22,26,20,22,26,4.56543159791437,15.4706142994955,20.0360458974098
2024,BEL_2019_1,1,17,12,20,17,12,2.52603587745061,18.2710431701757,20.7970790476263
2024,BEL_2019_1,1,25,63,20,25,63,0.312874446442642,18.2710431701757,18.5839176166184
2026,BEL_2019_1,1,19,77,20,19,77,1.33375454304964,18.4964779134449,19.8302324564945
