Genotype,Envir,Management,Row,Position,Sample_size,R,P,Sample_size_spats_residuals,Sample_size_spats_geno_pred_values,Sample_size_spats_adj_pheno
12_E014,ESP_2022_1,1,6,70,20,6,70,1.40674541115832,19.2717684820847,20.678513893243
12_E015,ESP_2022_1,1,2,49,20,2,49,3.04857143607198,17.2361083710934,20.2846798071654
12_E015,ESP_2022_1,1,2,129,8,2,129,-7.74373237883205,17.2361083710934,9.49237599226134
12_E017,ESP_2022_1,1,4,32,20,4,32,0.97906095574746,19.1365431430854,20.1156040988328
12_E017,ESP_2022_1,1,2,94,20,2,94,0.662761860958469,19.1365431430854,19.7993050040438
12_E024,ESP_2022_1,1,8,5,20,8,5,0.435344740034953,19.064167040442,19.499511780477
12_E024,ESP_2022_1,1,7,110,20,7,110,0.965140571283573,19.064167040442,20.0293076117256
12_E025,ESP_2022_1,1,7,14,20,7,14,0.784439032038822,18.879417352777,19.6638563848159
12_E034,ESP_2022_1,1,5,78,20,5,78,1.97846495527671,19.2375007043071,21.2159656595838
12_E035,ESP_2022_1,1,7,53,20,7,53,1.31257057344758,19.2288880084442,20.5414585818918
12_E035,ESP_2022_1,1,8,117,20,8,117,0.637175419930092,19.2288880084442,19.8660634283743
12_E039,ESP_2022_1,1,8,114,20,8,114,0.862737429435835,19.015981445127,19.8787188745628
12_E039,ESP_2022_1,1,2,9,20,2,9,0.377073419674336,19.015981445127,19.3930548648013
12_E043,ESP_2022_1,1,1,124,20,1,124,1.47297064195004,19.5167205099467,20.9896911518967
12_E043,ESP_2022_1,1,4,65,20,4,65,1.43655040624622,19.5167205099467,20.9532709161929
12_F002,ESP_2022_1,1,6,128,20,6,128,4.05494499606197,16.2987052012017,20.3536501972636
12_F002,ESP_2022_1,1,2,55,4,2,55,-11.8758689227573,16.2987052012017,4.42283627844435
12_F007,ESP_2022_1,1,1,85,20,1,85,0.00906914918755319,19.095582004613,19.1046511538006
12_F007,ESP_2022_1,1,7,49,20,7,49,1.49616909587517,19.095582004613,20.5917511004882
12_F014,ESP_2022_1,1,1,127,20,1,127,1.84195617095945,19.3317510704138,21.1737072413732
12_F014,ESP_2022_1,1,9,14,20,9,14,0.450785837202115,19.3317510704138,19.7825369076159
12_F019,ESP_2022_1,1,1,18,2,1,18,-13.8969951858254,15.5275631563837,1.63056797055826
12_F019,ESP_2022_1,1,1,74,20,1,74,3.50470459805245,15.5275631563837,19.0322677544361
12_F023,ESP_2022_1,1,8,89,20,8,89,0.238791797801024,19.0503636869048,19.2891554847059
12_F023,ESP_2022_1,1,3,37,20,3,37,1.1156663472708,19.0503636869048,20.1660300341756
12_F040,ESP_2022_1,1,7,66,20,7,66,1.17539201813742,18.9966625087057,20.1720545268431
12_F045,ESP_2022_1,1,9,28,20,9,28,0.815428458364348,19.1864055719714,20.0018340303358
12_F045,ESP_2022_1,1,7,72,20,7,72,0.99266020798585,19.1864055719714,20.1790657799573
12_F046,ESP_2022_1,1,1,42,20,1,42,0.964501177621976,19.0281160633919,19.9926172410139
12_F046,ESP_2022_1,1,9,109,20,9,109,0.315772454008215,19.0281160633919,19.3438885174002
12_F052,ESP_2022_1,1,1,13,20,1,13,0.388375139277727,18.9801197077743,19.3684948470521
12_F052,ESP_2022_1,1,8,68,20,8,68,0.731855048323286,18.9801197077743,19.7119747560976
12_F054,ESP_2022_1,1,2,7,20,2,7,0.518900129287452,18.7997833528711,19.3186834821586
12_I002,ESP_2022_1,1,7,60,20,7,60,1.36801161675724,19.220982240459,20.5889938572162
12_I002,ESP_2022_1,1,8,115,20,8,115,0.555372659782268,19.220982240459,19.7763549002412
12_I003,ESP_2022_1,1,5,20,20,5,20,0.842487690969605,18.8968259014,19.7393135923696
12_I005,ESP_2022_1,1,4,48,20,4,48,2.65608680989541,17.7500438539976,20.406130663893
12_I005,ESP_2022_1,1,4,81,11,4,81,-5.63753420848392,17.7500438539976,12.1125096455137
12_I010,ESP_2022_1,1,8,107,20,8,107,0.396045769499718,19.118021192904,19.5140669624037
12_I010,ESP_2022_1,1,2,56,20,2,56,1.18401576014558,19.118021192904,20.3020369530495
12_I037,ESP_2022_1,1,3,29,20,3,29,0.624002789272474,19.3224774488322,19.9464802381046
12_I037,ESP_2022_1,1,4,78,20,4,78,1.63781640574132,19.3224774488322,20.9602938545735
12_I049,ESP_2022_1,1,5,87,20,5,87,2.00343995698317,19.2602378912501,21.2636778482332
12_I049,ESP_2022_1,1,7,2,20,7,2,0.0508419568742902,19.2602378912501,19.3110798481244
12_I056,ESP_2022_1,1,1,1,20,1,1,0.287341814750583,18.8460621820645,19.1334039968151
12_I056,ESP_2022_1,1,1,96,20,1,96,0.385874681153371,18.8460621820645,19.2319368632178
12_I059,ESP_2022_1,1,4,86,20,4,86,1.77515911404996,19.1765301377597,20.9516892518097
12_I062,ESP_2022_1,1,5,13,20,5,13,0.438054713715438,19.1289778875069,19.5670326012223
12_I062,ESP_2022_1,1,3,105,20,3,105,1.17854182190828,19.1289778875069,20.3075197094152
12_I064,ESP_2022_1,1,7,118,20,7,118,1.07888312321781,19.0866072785529,20.1654904017707
12_I064,ESP_2022_1,1,6,9,20,6,9,0.39642897329891,19.0866072785529,19.4830362518518
12_J001,ESP_2022_1,1,6,2,20,6,2,0.0661490905357027,19.1681008967572,19.2342499872929
12_J001,ESP_2022_1,1,4,98,20,4,98,1.68090279030379,19.1681008967572,20.849003687061
12_J004,ESP_2022_1,1,2,113,20,2,113,1.38922531338262,19.0607902144279,20.4500155278105
12_J011,ESP_2022_1,1,4,80,20,4,80,1.91215739607367,19.2176153462348,21.1297727423085
12_J013,ESP_2022_1,1,8,21,20,8,21,0.724426540248352,19.2457922813644,19.9702188216128
12_J013,ESP_2022_1,1,4,122,20,4,122,1.28168660897171,19.2457922813644,20.5274788903361
12_J015,ESP_2022_1,1,3,39,20,3,39,1.05446058077176,19.1262971121546,20.1807576929263
12_J015,ESP_2022_1,1,9,117,20,9,117,0.55319693199208,19.1262971121546,19.6794940441466
12_J019,ESP_2022_1,1,7,21,20,7,21,0.545592852165175,19.3598866302535,19.9054794824187
12_J019,ESP_2022_1,1,6,77,20,6,77,1.84096694358682,19.3598866302535,21.2008535738404
12_J027,ESP_2022_1,1,5,121,20,5,121,1.07125951970267,19.1737583497069,20.2450178694096
12_J027,ESP_2022_1,1,5,18,20,5,18,0.694657090403339,19.1737583497069,19.8684154401102
12_J028,ESP_2022_1,1,6,25,20,6,25,1.17907803375214,18.9977679292828,20.1768459630349
12_J029,ESP_2022_1,1,6,3,20,6,3,0.139735965836138,19.095837595564,19.2355735614001
12_J029,ESP_2022_1,1,3,116,20,3,116,1.3663545451024,19.095837595564,20.4621921406664
12_J031,ESP_2022_1,1,5,113,1,5,113,-13.0748166812752,14.7230848653904,1.64826818411527
12_K001,ESP_2022_1,1,1,56,4,1,56,-11.4320485169588,15.2157441273184,3.78369561035959
12_K010,ESP_2022_1,1,2,53,2,2,53,-12.6232224441797,14.8585160773965,2.23529363321679
12_K016,ESP_2022_1,1,2,116,20,2,116,1.2291180862814,19.1350819363438,20.3642000226252
12_K016,ESP_2022_1,1,2,17,20,2,17,0.407832348837552,19.1350819363438,19.5429142851814
12_K018,ESP_2022_1,1,7,24,20,7,24,1.04942016634937,18.9588840802739,20.0083042466233
12_K023,ESP_2022_1,1,8,113,20,8,113,0.690897369268726,19.2233281556656,19.9142255249343
12_K023,ESP_2022_1,1,5,42,20,5,42,1.2403093417918,19.2233281556656,20.4636374974574
12_K024,ESP_2022_1,1,5,126,20,5,126,1.0378325667871,19.1616570086969,20.199489575484
12_K024,ESP_2022_1,1,1,25,20,1,25,0.687732223525746,19.1616570086969,19.8493892322226
12_K044,ESP_2022_1,1,7,41,20,7,41,4.27093029658942,16.0738778477095,20.344808144299
12_K044,ESP_2022_1,1,4,88,2,4,88,-12.8415391421047,16.0738778477095,3.23233870560489
12_K045,ESP_2022_1,1,3,94,20,3,94,1.32245104167388,19.0845541536806,20.4070051953545
12_K045,ESP_2022_1,1,4,2,20,4,2,0.146014927228421,19.0845541536806,19.230569080909
12_K049,ESP_2022_1,1,5,54,20,5,54,1.61565117412306,19.1593352840187,20.7749864581418
12_K049,ESP_2022_1,1,9,103,20,9,103,0.102171844782276,19.1593352840187,19.261507128801
12_L001,ESP_2022_1,1,4,26,20,4,26,1.05483005448502,18.9605064829683,20.0153365374533
12_L012,ESP_2022_1,1,4,55,6,4,55,-10.0130622591851,16.8911275428888,6.87806528370369
12_L012,ESP_2022_1,1,4,89,20,4,89,4.16756564698854,16.8911275428888,21.0586931898773
12_L013,ESP_2022_1,1,6,14,20,6,14,0.445653729079691,19.1428313387724,19.5884850678521
12_L013,ESP_2022_1,1,3,99,20,3,99,1.21713702324425,19.1428313387724,20.3599683620166
12_L018,ESP_2022_1,1,8,129,7,8,129,-8.7479457131706,16.5750852531729,7.82713954000232
12_L018,ESP_2022_1,1,6,52,18,6,52,1.84860874467775,16.5750852531729,18.4236939978507
12_L021,ESP_2022_1,1,6,56,20,6,56,1.49355285460301,19.2678317869615,20.7613846415645
12_L021,ESP_2022_1,1,2,88,20,2,88,0.586050840619357,19.2678317869615,19.8538826275809
12_N021,ESP_2022_1,1,3,114,20,3,114,1.32317194161332,19.2622180120405,20.5853899536539
12_N021,ESP_2022_1,1,9,18,20,9,18,0.737712668361841,19.2622180120405,19.9999306804024
12_N034,ESP_2022_1,1,6,24,20,6,24,0.977159945288154,18.9372135439511,19.9143734892393
12_N039,ESP_2022_1,1,2,107,20,2,107,0.723974772653442,19.2735731168609,19.9975478895143
12_N039,ESP_2022_1,1,3,56,20,3,56,1.37477333881818,19.2735731168609,20.648346455679
12_N041,ESP_2022_1,1,3,75,20,3,75,1.15984454043311,19.2403505243997,20.4001950648328
12_N041,ESP_2022_1,1,2,52,20,2,52,0.828123115967589,19.2403505243997,20.0684736403672
12_N046,ESP_2022_1,1,2,33,20,2,33,0.910823979998508,19.149216793634,20.0600407736325
12_N046,ESP_2022_1,1,7,74,20,7,74,0.773259017842644,19.149216793634,19.9224758114766
12_N052,ESP_2022_1,1,1,95,20,1,95,0.419108794244828,18.769856351279,19.1889651455239
12_N054,ESP_2022_1,1,5,40,20,5,40,1.18923992837103,19.0008154387314,20.1900553671025
12_N057,ESP_2022_1,1,5,107,20,5,107,1.45350114875486,19.2350519786744,20.6885531274292
12_N057,ESP_2022_1,1,8,8,20,8,8,0.516798551499765,19.2350519786744,19.7518505301741
12_N062,ESP_2022_1,1,2,109,20,2,109,1.01275502138801,19.1129784180704,20.1257334394584
12_N062,ESP_2022_1,1,6,15,20,6,15,0.5504914179979,19.1129784180704,19.6634698360683
12_N063,ESP_2022_1,1,2,86,20,2,86,0.617393301412609,18.9409753783845,19.5583686797971
12_N063,ESP_2022_1,1,1,9,20,1,9,0.37231044914661,18.9409753783845,19.3132858275311
12_O010,ESP_2022_1,1,5,89,18,5,89,0.897484318778062,18.4305234884412,19.3280078072193
12_O010,ESP_2022_1,1,4,19,17,4,19,-1.60987810096877,18.4305234884412,16.8206453874724
12_O011,ESP_2022_1,1,8,14,20,8,14,0.525714679619622,19.2247467216649,19.7504614012845
12_O011,ESP_2022_1,1,6,102,20,6,102,1.41022222783183,19.2247467216649,20.6349689494968
12_O014,ESP_2022_1,1,1,64,20,1,64,0.306788329246245,19.2236615994173,19.5304499286636
12_O014,ESP_2022_1,1,4,74,20,4,74,1.62553024719938,19.2236615994173,20.8491918466167
12_O017,ESP_2022_1,1,9,68,20,9,68,0.207932918143698,19.0248558261817,19.2327887443254
12_O017,ESP_2022_1,1,2,46,20,2,46,1.0614694799363,19.0248558261817,20.086325306118
12_O026,ESP_2022_1,1,1,86,20,1,86,0.158868213074967,18.9048171662661,19.063685379341
12_O026,ESP_2022_1,1,2,19,20,2,19,0.71026628336255,18.9048171662661,19.6150834496286
12_O056,ESP_2022_1,1,7,95,20,7,95,0.679559972104542,19.1240585473798,19.8036185194843
12_O056,ESP_2022_1,1,2,58,20,2,58,0.920633065250094,19.1240585473798,20.0446916126299
12_O061,ESP_2022_1,1,3,51,20,3,51,1.19267554639306,19.1201888894142,20.3128644358073
12_O061,ESP_2022_1,1,8,70,20,8,70,0.394614149029636,19.1201888894142,19.5148030384439
12_O063,ESP_2022_1,1,9,113,20,9,113,0.793649919600995,18.88217965921,19.675829578811
12_O072,ESP_2022_1,1,4,1,20,4,1,0.280152638528588,18.9342176258663,19.2143702643949
12_O072,ESP_2022_1,1,1,105,20,1,105,0.687017443109536,18.9342176258663,19.6212350689759
12_O074,ESP_2022_1,1,5,25,20,5,25,0.900023484756254,19.2302079087875,20.1302313935437
12_O074,ESP_2022_1,1,3,85,20,3,85,1.05412370521207,19.2302079087875,20.2843316139995
12_P001,ESP_2022_1,1,2,100,13,2,100,-4.92682526273727,17.6924982784556,12.7656730157183
12_P001,ESP_2022_1,1,3,11,20,3,11,1.75349262661609,17.6924982784556,19.4459909050716
12_P002,ESP_2022_1,1,2,30,20,2,30,1.08395866160216,18.9692420297089,20.0532006913111
12_P003,ESP_2022_1,1,4,56,20,4,56,1.65448682811871,19.140341026835,20.7948278549537
12_P018,ESP_2022_1,1,6,44,20,6,44,1.39493012490798,19.0625010634062,20.4574311883142
12_P025,ESP_2022_1,1,5,111,20,5,111,1.27234536963487,19.252887687354,20.5252330569889
12_P025,ESP_2022_1,1,5,34,20,5,34,0.757427351166168,19.252887687354,20.0103150385202
12_P027,ESP_2022_1,1,8,94,20,8,94,0.329924335351038,19.0536729513642,19.3835972867153
12_P027,ESP_2022_1,1,6,34,20,6,34,1.03556852422089,19.0536729513642,20.0892414755851
12_P029,ESP_2022_1,1,4,123,20,4,123,1.3358082268036,19.2157282661241,20.5515364929278
12_P029,ESP_2022_1,1,9,12,20,9,12,0.570056716516501,19.2157282661241,19.7857849826406
12_P034,ESP_2022_1,1,7,63,20,7,63,1.10206808219159,19.2462489928296,20.3483170750212
12_P034,ESP_2022_1,1,7,88,20,7,88,0.905567967566991,19.2462489928296,20.1518169603966
12_P055,ESP_2022_1,1,9,114,20,9,114,0.500785853687731,19.1516871910628,19.6524730447506
12_P055,ESP_2022_1,1,7,43,20,7,43,1.19153466359714,19.1516871910628,20.34322185466
12_P056,ESP_2022_1,1,4,103,4,4,103,-10.5504185441838,15.480141247445,4.92972270326119
1218,ESP_2022_1,1,4,114,20,4,114,1.46509154628192,19.1502096988951,20.6153012451771
1218,ESP_2022_1,1,4,4,20,4,4,0.222302285799483,19.1502096988951,19.3725119846946
1236,ESP_2022_1,1,2,104,20,2,104,1.00257619018685,18.944835768879,19.9474119590659
13_10,ESP_2022_1,1,3,122,20,3,122,1.50305777767409,19.2681226577958,20.7711804354699
13_10,ESP_2022_1,1,7,19,20,7,19,0.577515823898242,19.2681226577958,19.8456384816941
13_109,ESP_2022_1,1,1,35,20,1,35,0.729983571385859,18.9454671721399,19.6754507435258
13_109,ESP_2022_1,1,8,83,20,8,83,0.274698027662744,18.9454671721399,19.2201651998027
13_139,ESP_2022_1,1,6,47,20,6,47,1.35679361649375,19.2597947870747,20.6165884035685
13_139,ESP_2022_1,1,2,68,20,2,68,0.696010770218674,19.2597947870747,19.9558055572934
13_32,ESP_2022_1,1,5,57,20,5,57,1.45907932260393,19.2226317554767,20.6817110780806
13_32,ESP_2022_1,1,2,89,20,2,89,0.469805247885354,19.2226317554767,19.692437003362
13_35,ESP_2022_1,1,1,32,20,1,32,0.691020082032793,19.0419385090835,19.7329585911163
13_35,ESP_2022_1,1,2,97,20,2,97,0.635344378472116,19.0419385090835,19.6772828875556
13_38,ESP_2022_1,1,2,20,20,2,20,0.652567794466393,18.9595525800008,19.6121203744671
13_38,ESP_2022_1,1,8,81,20,8,81,0.399081478598131,18.9595525800008,19.3586340585989
130,ESP_2022_1,1,6,49,20,6,49,1.47278252417173,19.1052424059447,20.5780249301165
130,ESP_2022_1,1,1,75,20,1,75,0.0646682478617855,19.1052424059447,19.1699106538065
131,ESP_2022_1,1,9,42,20,9,42,1.11334157579343,18.9780538420712,20.0913954178646
133,ESP_2022_1,1,6,112,20,6,112,1.29613126537023,19.0328717010431,20.3290029664133
135,ESP_2022_1,1,8,2,20,8,2,0.210399045534626,19.2196091589384,19.430008204473
135,ESP_2022_1,1,6,124,20,6,124,1.0947120985842,19.2196091589384,20.3143212575226
135,ESP_2022_1,1,6,23,20,6,23,0.613694603641601,19.2196091589384,19.83330376258
1377,ESP_2022_1,1,6,93,20,6,93,1.30850108258995,19.3104188429506,20.6189199255405
1377,ESP_2022_1,1,6,30,20,6,30,0.91310879255672,19.3104188429506,20.2235276355073
140,ESP_2022_1,1,7,54,4,7,54,-11.7529457660437,16.3885226848219,4.6355769187782
140,ESP_2022_1,1,6,74,20,6,74,4.23151748287492,16.3885226848219,20.6200401676969
141,ESP_2022_1,1,6,85,20,6,85,3.00784256952001,17.7367252928388,20.7445678623589
141,ESP_2022_1,1,3,60,11,3,60,-6.03370059824763,17.7367252928388,11.7030246945912
143,ESP_2022_1,1,8,96,20,8,96,0.246938147901133,18.9339061204552,19.1808442683563
143,ESP_2022_1,1,5,15,20,5,15,0.719193221564122,18.9339061204552,19.6530993420193
1446,ESP_2022_1,1,5,10,20,5,10,0.407971530349833,19.1037332179622,19.511704748312
1446,ESP_2022_1,1,3,86,20,3,86,1.12444686705224,19.1037332179622,20.2281800850144
1448,ESP_2022_1,1,3,35,20,3,35,0.726186678054024,19.3730625516905,20.0992492297446
1448,ESP_2022_1,1,5,74,20,5,74,1.70430811688494,19.3730625516905,21.0773706685755
1478,ESP_2022_1,1,1,47,20,1,47,0.504325808415267,19.4401581028134,19.9444839112287
1478,ESP_2022_1,1,1,129,20,1,129,2.14989853728975,19.4401581028134,21.5900566401032
1481,ESP_2022_1,1,5,124,20,5,124,1.04951892105986,19.2599396662807,20.3094585873405
1481,ESP_2022_1,1,8,53,20,8,53,1.00376856414588,19.2599396662807,20.2637082304265
149,ESP_2022_1,1,5,77,4,5,77,-9.95812306878442,15.6577681689376,5.69964510015321
15,ESP_2022_1,1,1,51,20,1,51,0.693449591103107,18.8839421205611,19.5773917116642
15,ESP_2022_1,1,9,75,20,9,75,0.106077241046368,18.8839421205611,18.9900193616075
152,ESP_2022_1,1,8,13,20,8,13,0.842121454786941,18.8967160687095,19.7388375234964
163,ESP_2022_1,1,5,92,2,5,92,-11.7915733024765,15.1079241565365,3.31635085406001
17,ESP_2022_1,1,2,105,20,2,105,0.910733795851375,18.9827615332959,19.8934953291472
17,ESP_2022_1,1,2,1,20,2,1,0.218305536726344,18.9827615332959,19.2010670700222
170,ESP_2022_1,1,6,80,3,6,80,-11.3659174514904,15.2355765556622,3.86965910417178
173,ESP_2022_1,1,3,8,20,3,8,0.317465074228469,19.2626018570782,19.5800669313067
173,ESP_2022_1,1,4,85,20,4,85,1.7446994637957,19.2626018570782,21.0073013208739
1870,ESP_2022_1,1,1,10,20,1,10,0.387673818063181,18.9541151257361,19.3417889437993
1870,ESP_2022_1,1,9,116,20,9,116,0.645844309499434,18.9541151257361,19.5999594352355
1872,ESP_2022_1,1,4,3,20,4,3,0.112872975074406,19.1294644579246,19.242337432999
1872,ESP_2022_1,1,2,119,20,2,119,1.50534602551359,19.1294644579246,20.6348104834382
1887,ESP_2022_1,1,5,65,2,5,65,-12.7580963962091,15.8527338349733,3.09463743876424
1887,ESP_2022_1,1,8,74,20,8,74,3.45008470063786,15.8527338349733,19.3028185356112
1889,ESP_2022_1,1,5,30,20,5,30,0.761613898608822,19.3946409809331,20.1562548795419
1889,ESP_2022_1,1,6,31,20,6,31,0.866020115793756,19.3946409809331,20.2606610967268
1889,ESP_2022_1,1,9,63,20,9,63,-0.0141963229105535,19.3946409809331,19.3804446580225
1889,ESP_2022_1,1,3,84,20,3,84,0.889010194223733,19.3946409809331,20.2836511751568
1893,ESP_2022_1,1,1,6,20,1,6,0.428253563865855,18.7725988292195,19.2008523930854
1900,ESP_2022_1,1,2,64,20,2,64,3.77774438846474,16.3328682489265,20.1106126373912
1900,ESP_2022_1,1,6,91,4,6,91,-11.4847519199243,16.3328682489265,4.8481163290022
1901,ESP_2022_1,1,8,80,20,8,80,0.336346823467206,19.0577177005711,19.3940645240384
1901,ESP_2022_1,1,9,31,20,9,31,1.04263321830803,19.0577177005711,20.1003509188792
1910,ESP_2022_1,1,8,64,12,8,64,-5.16320461293831,17.0957440433028,11.9325394303645
192,ESP_2022_1,1,3,9,20,3,9,0.64853795251468,18.838661190716,19.4871991432307
1935,ESP_2022_1,1,1,71,20,1,71,0.109124567439434,19.0421044795831,19.1512290470226
1935,ESP_2022_1,1,7,62,20,7,62,1.21779332030022,19.0421044795831,20.2598977998833
1951,ESP_2022_1,1,6,40,12,6,40,-5.62726149917096,17.8986698995757,12.2714084004047
1951,ESP_2022_1,1,4,72,20,4,72,3.14140639921985,17.8986698995757,21.0400762987955
1952,ESP_2022_1,1,3,42,12,3,42,-4.70496291052002,17.2331688021956,12.5282058916756
1962,ESP_2022_1,1,6,89,20,6,89,1.55905632284345,19.2407838830262,20.7998402058696
1962,ESP_2022_1,1,9,5,20,9,5,0.430356364251644,19.2407838830262,19.6711402472778
197,ESP_2022_1,1,2,16,20,2,16,0.693399258218211,19.1433316756368,19.836730933855
197,ESP_2022_1,1,7,103,20,7,103,0.971059863170829,19.1433316756368,20.1143915388076
1985,ESP_2022_1,1,4,45,20,4,45,0.896507847870304,19.4090821966433,20.3055900445136
1985,ESP_2022_1,1,5,70,20,5,70,1.6540941501419,19.4090821966433,21.0631763467852
1989,ESP_2022_1,1,8,16,20,8,16,1.0696128232621,19.0591517084874,20.1287645317495
1989,ESP_2022_1,1,8,76,20,8,76,0.314148905846139,19.0591517084874,19.3733006143336
1991,ESP_2022_1,1,5,73,20,5,73,1.81456452896217,19.517347754293,21.3319122832552
1991,ESP_2022_1,1,6,53,20,6,53,1.0970480602301,19.517347754293,20.6143958145231
1997,ESP_2022_1,1,3,43,20,3,43,1.22334166505489,19.0110424061089,20.2343840711638
2,ESP_2022_1,1,8,105,20,8,105,0.524408619123786,18.9006759591292,19.425084578253
2,ESP_2022_1,1,1,4,20,1,4,0.330917056954604,18.9006759591292,19.2315930160838
200,ESP_2022_1,1,4,118,20,4,118,1.44135266452443,19.0764229877538,20.5177756522783
2003,ESP_2022_1,1,7,105,20,7,105,0.96815037845791,18.9345116127588,19.9026619912167
2010,ESP_2022_1,1,9,92,20,9,92,-0.00530869394638955,18.9616282929029,18.9563195989565
2010,ESP_2022_1,1,5,35,20,5,35,1.06387941422086,18.9616282929029,20.0255077071237
2013,ESP_2022_1,1,3,89,20,3,89,1.14483923506916,19.2014133267937,20.3462525618629
2013,ESP_2022_1,1,1,55,20,1,55,0.713292663480548,19.2014133267937,19.9147059902743
202,ESP_2022_1,1,5,79,2,5,79,-13.195239749173,16.613715051909,3.41847530273597
202,ESP_2022_1,1,9,3,20,9,3,3.01228720830613,16.613715051909,19.6260022602151
202,ESP_2022_1,1,9,33,20,9,33,3.41242631127955,16.613715051909,20.0261413631885
2024,ESP_2022_1,1,5,22,20,5,22,0.768593866383384,18.9616202771866,19.73021414357
2024,ESP_2022_1,1,8,97,20,8,97,0.289950125552636,18.9616202771866,19.2515704027393
2026,ESP_2022_1,1,1,60,20,1,60,0.54667360438906,19.1878100078654,19.7344836122545
2026,ESP_2022_1,1,4,126,20,4,126,1.26609814163454,19.1878100078654,20.4539081495
203,ESP_2022_1,1,5,66,20,5,66,1.56809236322513,19.3782189927052,20.9463113559303
203,ESP_2022_1,1,8,32,20,8,32,0.879596540897627,19.3782189927052,20.2578155336028
204,ESP_2022_1,1,3,53,20,3,53,1.46929727671876,19.0659055603807,20.5352028370994
204,ESP_2022_1,1,9,71,20,9,71,-0.0630148852903965,19.0659055603807,19.0028906750903
2046,ESP_2022_1,1,1,68,20,1,68,0.247576549207665,19.1129552012532,19.3605317504609
2046,ESP_2022_1,1,7,36,20,7,36,1.31559247389681,19.1129552012532,20.42854767515
2050,ESP_2022_1,1,4,70,20,4,70,1.71247957197587,19.1577328067626,20.8702123787384
2055,ESP_2022_1,1,5,80,20,5,80,2.47808226724432,18.9175056692591,21.3955879365034
2055,ESP_2022_1,1,7,33,17,7,33,-1.56663806432086,18.9175056692591,17.3508676049382
206,ESP_2022_1,1,3,49,2,3,49,-13.1741163056905,15.707460830197,2.53334452450644
206,ESP_2022_1,1,9,69,20,9,69,3.38169299782711,15.707460830197,19.0891538280241
2061,ESP_2022_1,1,5,31,9,5,31,-7.27307342511843,16.4630032620093,9.18992983689088
2071,ESP_2022_1,1,9,122,20,9,122,0.906485754468456,19.2364746144247,20.1429603688932
2071,ESP_2022_1,1,3,46,20,3,46,1.06855771272773,19.2364746144247,20.3050323271525
216,ESP_2022_1,1,7,9,20,7,9,0.27016330158747,19.2858557186157,19.5560190202032
216,ESP_2022_1,1,4,82,20,4,82,1.86954104210635,19.2858557186157,21.1553967607221
236,ESP_2022_1,1,8,62,20,8,62,0.535678771642129,19.2832261886795,19.8189049603217
236,ESP_2022_1,1,3,120,20,3,120,1.59525742660083,19.2832261886795,20.8784836152804
238,ESP_2022_1,1,9,11,20,9,11,0.50686470097391,19.1852400141113,19.6921047150852
238,ESP_2022_1,1,6,101,20,6,101,1.29733742249705,19.1852400141113,20.4825774366083
241,ESP_2022_1,1,3,15,20,3,15,0.436690600872648,19.2286225977255,19.6653131985982
241,ESP_2022_1,1,6,84,20,6,84,1.51217038269645,19.2286225977255,20.740792980422
2410,ESP_2022_1,1,4,124,20,4,124,1.45674123657733,19.0810379557782,20.5377791923555
2422,ESP_2022_1,1,1,62,20,1,62,0.27751830529845,19.1153068328802,19.3928251381786
2422,ESP_2022_1,1,7,120,20,7,120,1.29349221368254,19.1153068328802,20.4087990465627
2443,ESP_2022_1,1,7,109,20,7,109,0.728539633920772,19.28157563067,20.0101152645908
2443,ESP_2022_1,1,4,61,20,4,61,1.39689279252497,19.28157563067,20.678468423195
249,ESP_2022_1,1,9,56,20,9,56,0.540119219629862,19.1978065828937,19.7379258025235
249,ESP_2022_1,1,1,94,20,1,94,0.206460357282669,19.1978065828937,19.4042669401763
249,ESP_2022_1,1,5,29,20,5,29,0.696740538283397,19.1978065828937,19.8945471211771
249,ESP_2022_1,1,2,87,20,2,87,0.402785126161387,19.1978065828937,19.600591709055
25,ESP_2022_1,1,9,16,4,9,16,-12.0921832195631,16.2167941658487,4.12461094628565
25,ESP_2022_1,1,2,103,20,2,103,3.8327383252022,16.2167941658487,20.0495324910509
25,ESP_2022_1,1,6,33,20,6,33,4.01340825790931,16.2167941658487,20.2302024237581
25,ESP_2022_1,1,9,96,20,9,96,2.59052109047068,16.2167941658487,18.8073152563194
25,ESP_2022_1,1,9,26,20,9,26,3.72415977725798,16.2167941658487,19.9409539431067
25,ESP_2022_1,1,7,102,6,7,102,-10.1626998162658,16.2167941658487,6.05409434958289
26,ESP_2022_1,1,2,108,20,2,108,0.996705350800873,19.1800410189637,20.1767463697646
26,ESP_2022_1,1,6,16,20,6,16,0.790160767087933,19.1800410189637,19.9702017860516
261,ESP_2022_1,1,3,67,10,3,67,-4.39804296179559,14.9059566355213,10.5079136737257
261,ESP_2022_1,1,5,56,6,5,56,-8.06698934041922,14.9059566355213,6.83896729510204
262,ESP_2022_1,1,7,15,20,7,15,0.467819209226288,19.2720534952167,19.739872704443
262,ESP_2022_1,1,4,99,20,4,99,1.62586173665696,19.2720534952167,20.8979152318736
2625,ESP_2022_1,1,2,14,20,2,14,0.632446749959243,18.8338355067597,19.466282256719
2651,ESP_2022_1,1,3,102,20,3,102,1.38455214737363,19.0593887516002,20.4439408989738
2652,ESP_2022_1,1,2,124,1,2,124,-12.7975506572784,14.806235779626,2.00868512234753
